year,month,manufacturer,model,body_type,energy_type,sales
2024,1,长安汽车,长安CS75PLUS,SUV,燃油,40496
2024,1,上汽大众,朗逸,三厢车,燃油,32419
2024,1,比亚迪,宋PLUS新能源,SUV,新能源,32267
2024,1,东风日产,轩逸,三厢车,燃油,30384
2024,1,AITO 问界,问界M7,SUV,新能源,29997
2024,1,特斯拉中国,Model Y,SUV,新能源,29912
2024,1,比亚迪,秦PLUS,三厢车,新能源,29244
2024,1,比亚迪,海鸥,两厢车,新能源,28050
2024,1,一汽-大众,速腾,三厢车,燃油,27826
2024,1,东风本田,本田CR-V,SUV,燃油,26872
2024,1,吉利汽车,星越L,SUV,燃油,23387
2024,1,长城汽车,哈弗H6,SUV,燃油,22846
2024,1,上汽大众,帕萨特,三厢车,燃油,22313
2024,1,吉利汽车,星瑞,三厢车,燃油,21253
2024,1,东风本田,思域,三厢车,燃油,21234
2024,1,奇瑞汽车,瑞虎8,SUV,燃油,21097
2024,1,长安汽车,逸动,三厢车,新能源,20898
2024,1,比亚迪,宋Pro新能源,SUV,新能源,19952
2024,1,吉利汽车,帝豪,三厢车,燃油,19341
2024,1,广汽丰田,锋兰达,SUV,燃油,18066
2024,1,一汽奥迪,奥迪A6L,三厢车,燃油,18027
2024,1,长安汽车,长安UNI-V,两厢车,燃油,17372
2024,1,一汽丰田,卡罗拉锐放,SUV,燃油,17238
2024,1,一汽丰田,RAV4荣放,SUV,燃油,16914
2024,1,比亚迪,元PLUS,SUV,新能源,16831
2024,1,一汽-大众,迈腾,三厢车,燃油,16593
2024,1,比亚迪,海豚,两厢车,新能源,16386
2024,1,广汽丰田,凯美瑞,三厢车,燃油,16352
2024,1,上汽大众,途观L,SUV,燃油,16264
2024,1,长安汽车,长安Lumin,两厢车,新能源,16041
2024,1,上汽通用五菱,宏光MINIEV,运动汽车,新能源,15520
2024,1,广汽本田,雅阁,三厢车,燃油,15456
2024,1,奇瑞汽车,艾瑞泽8,三厢车,燃油,15083
2024,1,一汽红旗,红旗H5,三厢车,燃油,14865
2024,1,华晨宝马,宝马3系,三厢车,燃油,14811
2024,1,吉利汽车,博越L,SUV,燃油,14022
2024,1,一汽丰田,卡罗拉,三厢车,燃油,13921
2024,1,理想,理想L7,SUV,新能源,13343
2024,1,广汽本田,皓影,SUV,燃油,13198
2024,1,广汽本田,型格,三厢车,燃油,13023
2024,1,华晨宝马,宝马X3,SUV,燃油,12987
2024,1,广汽丰田,威兰达,SUV,燃油,12983
2024,1,一汽奥迪,奥迪Q5L,SUV,燃油,12753
2024,1,长安汽车,长安欧尚Z6,SUV,燃油,12176
2024,1,华晨宝马,宝马X5,SUV,燃油,11935
2024,1,长安汽车,长安CS55PLUS,SUV,燃油,11934
2024,1,上汽通用五菱,五菱缤果,两厢车,新能源,11746
2024,1,一汽-大众,宝来,三厢车,燃油,11695
2024,1,北京现代,伊兰特,三厢车,燃油,11301
2024,1,一汽红旗,红旗HS5,SUV,燃油,11249
2024,1,比亚迪,汉,三厢车,新能源,11248
2024,1,吉利汽车,熊猫,两厢车,新能源,11092
2024,1,上汽大众,途岳,SUV,燃油,11060
2024,1,长安汽车,长安欧尚X5 PLUS,SUV,燃油,11048
2024,1,奇瑞汽车,捷途旅行者,SUV,燃油,10959
2024,1,一汽-大众,探岳,SUV,燃油,10798
2024,1,上汽通用别克,君威,三厢车,燃油,10564
2024,1,北京奔驰,奔驰C级,三厢车,新能源,10300
2024,1,上汽通用别克,昂科威Plus,SUV,燃油,10249
2024,1,华晨宝马,宝马5系,三厢车,新能源,10197
2024,1,北京奔驰,奔驰GLC,SUV,燃油,10193
2024,1,上汽通用五菱,五菱宏光,其他,燃油,10136
2024,1,上汽通用五菱,五菱星光,三厢车,新能源,10103
2024,1,东风日产,逍客,SUV,燃油,10088
2024,1,广汽埃安,AION Y,SUV,新能源,10079
2024,1,特斯拉中国,Model 3,三厢车,新能源,9969
2024,1,一汽奥迪,奥迪A4L,三厢车,燃油,9889
2024,1,吉利汽车,银河L7,SUV,新能源,9772
2024,1,奇瑞汽车,捷途X70,SUV,燃油,9746
2024,1,广汽埃安,AION S,三厢车,新能源,9534
2024,1,吉利汽车,博越,SUV,燃油,9424
2024,1,深蓝汽车,深蓝S07,SUV,新能源,9109
2024,1,理想,理想L8,SUV,新能源,9061
2024,1,比亚迪,唐新能源,SUV,新能源,8892
2024,1,华晨宝马,宝马X1,SUV,燃油,8843
2024,1,领克,领克08 EM-P,SUV,新能源,8816
2024,1,理想,理想L9,SUV,新能源,8762
2024,1,上汽集团,荣威i5,三厢车,燃油,8473
2024,1,比亚迪,海豹,三厢车,新能源,8459
2024,1,领克,领克03,三厢车,燃油,8450
2024,1,腾势汽车,腾势D9,MPV,新能源,8360
2024,1,北京奔驰,奔驰E级,三厢车,燃油,8345
2024,1,东风日产,天籁,三厢车,燃油,8198
2024,1,上汽通用雪佛兰,科鲁泽,三厢车,燃油,8181
2024,1,长城汽车,哈弗大狗,SUV,燃油,7979
2024,1,吉利汽车,缤越,SUV,燃油,7911
2024,1,上汽通用凯迪拉克,凯迪拉克CT5,三厢车,燃油,7841
2024,1,长安汽车,逸达,三厢车,燃油,7623
2024,1,上汽大众,大众ID.3,两厢车,新能源,7606
2024,1,一汽-大众,T-ROC探歌,SUV,燃油,7488
2024,1,上汽大众,凌渡,三厢车,燃油,7486
2024,1,比亚迪,宋L EV,SUV,新能源,7374
2024,1,一汽-大众捷达,捷达VS5,SUV,燃油,7369
2024,1,长城汽车,坦克300,SUV,燃油,7356
2024,1,一汽红旗,红旗E-QM5,三厢车,新能源,7253
2024,1,广汽丰田,汉兰达,SUV,燃油,7204
2024,1,奇瑞汽车,瑞虎9,SUV,燃油,7112
2024,1,东风本田,本田XR-V,SUV,燃油,7092
2024,1,长安福特,蒙迪欧,三厢车,燃油,7000
2024,1,广汽丰田,赛那SIENNA,MPV,燃油,6976
2024,1,沃尔沃亚太,沃尔沃XC60,SUV,新能源,6928
2024,1,一汽丰田,亚洲龙,三厢车,燃油,6635
2024,1,广汽丰田,雷凌,三厢车,燃油,6440
2024,1,比亚迪,驱逐舰05,三厢车,新能源,6400
2024,1,吉利汽车,银河L6,三厢车,新能源,6389
2024,1,东风本田,本田HR-V,SUV,燃油,6385
2024,1,奇瑞汽车,瑞虎7,SUV,燃油,6366
2024,1,长安马自达,马自达3 昂克赛拉,三厢车,燃油,6034
2024,1,领克,领克06,SUV,燃油,6034
2024,1,上汽集团,荣威D7,三厢车,新能源,6001
2024,1,极氪,极氪007,三厢车,新能源,5853
2024,1,上汽集团,MG5,三厢车,燃油,5852
2024,1,深蓝汽车,深蓝SL03,两厢车,新能源,5694
2024,1,吉利汽车,豪越L,SUV,燃油,5577
2024,1,广汽乘用车,传祺M8,MPV,燃油,5470
2024,1,东风本田,英仕派,三厢车,燃油,5417
2024,1,长安汽车,长安CS35PLUS,SUV,燃油,5411
2024,1,北京现代,途胜,SUV,燃油,5401
2024,1,一汽丰田,格瑞维亚,MPV,燃油,5368
2024,1,零跑汽车,零跑C11,SUV,新能源,5326
2024,1,赛力斯蓝电,蓝电E5,SUV,新能源,5289
2024,1,极氪,极氪001,两厢车,新能源,5272
2024,1,上汽通用别克,微蓝6,两厢车,新能源,5249
2024,1,上汽大众,途昂,SUV,燃油,5226
2024,1,方程豹,豹5,SUV,新能源,5203
2024,1,上汽通用五菱,五菱荣光V,其他,燃油,5177
2024,1,长城汽车,坦克500新能源,SUV,新能源,5045
2024,1,东风乘用车,东风风神L7,其他,新能源,5003
2024,1,上汽通用别克,别克GL8,MPV,燃油,4989
2024,1,吉利汽车,缤瑞,三厢车,燃油,4895
2024,1,广汽乘用车,传祺GS3,SUV,燃油,4775
2024,1,合众汽车,哪吒X,SUV,新能源,4766
2024,1,华晨宝马,宝马i3,三厢车,新能源,4745
2024,1,上汽通用五菱,五菱星驰,SUV,燃油,4708
2024,1,上汽通用五菱,五菱星辰,SUV,燃油,4681
2024,1,一汽奔腾,奔腾B70,三厢车,燃油,4666
2024,1,智己汽车,智己LS6,SUV,新能源,4612
2024,1,广汽乘用车,传祺M6,MPV,燃油,4606
2024,1,零跑汽车,零跑T03,两厢车,新能源,4606
